JobID	ExitCode	State	MaxRSS	Elapsed
27127630_70.batch	0:0	COMPLETED	1244888K	00:20:10
27127630_70.extern	0:0	COMPLETED		00:20:10
27127630_71	0:0	COMPLETED		00:11:13
27127630_71.batch	0:0	COMPLETED	559960K	00:11:13
27127630_71.extern	0:0	COMPLETED		00:11:13
27127630_72	0:0	COMPLETED		00:12:22
27127630_72.batch	0:0	COMPLETED	697380K	00:12:22
27127630_72.extern	0:0	COMPLETED		00:12:22
27127630_73	0:0	COMPLETED		00:08:19
27127630_73.batch	0:0	COMPLETED	470736K	00:08:19
27127630_73.extern	0:0	COMPLETED		00:08:19
27127630_74	0:0	COMPLETED		00:10:46
27127630_74.batch	0:0	COMPLETED	497132K	00:10:46
27127630_74.extern	0:0	COMPLETED		00:10:46
27127630_75	0:0	COMPLETED		00:11:50
27127630_75.batch	0:0	COMPLETED	1214268K	00:11:50
27127630_75.extern	0:0	COMPLETED		00:11:50
27127630_76	0:0	COMPLETED		00:10:33
27127630_76.batch	0:0	COMPLETED	1261452K	00:10:33
27127630_76.extern	0:0	COMPLETED		00:10:33
27127630_77	0:0	COMPLETED		00:16:05
27127630_77.batch	0:0	COMPLETED	1355560K	00:16:05
27127630_77.extern	0:0	COMPLETED		00:16:05
27127630_79	0:0	COMPLETED		00:05:36
27127630_79.batch	0:0	COMPLETED	516424K	00:05:36
27127630_79.extern	0:0	COMPLETED		00:05:36
27127630_80	0:0	COMPLETED		00:30:39
27127630_80.batch	0:0	COMPLETED	1261960K	00:30:39
27127630_80.extern	0:0	COMPLETED		00:30:39
27127630_81	0:0	COMPLETED		00:20:22
27127630_81.batch	0:0	COMPLETED	1126784K	00:20:22
27127630_81.extern	0:0	COMPLETED		00:20:22
27127630_82	0:0	COMPLETED		00:26:00
27127630_82.batch	0:0	COMPLETED	1062552K	00:26:00
27127630_82.extern	0:0	COMPLETED		00:26:00
27127630_83	0:0	COMPLETED		00:04:57
27127630_83.batch	0:0	COMPLETED	454320K	00:04:57
27127630_83.extern	0:0	COMPLETED		00:04:57
27127630_84	0:0	COMPLETED		00:05:12
27127630_84.batch	0:0	COMPLETED	419208K	00:05:12
27127630_84.extern	0:0	COMPLETED		00:05:12
27127630_85	0:0	COMPLETED		00:41:10
27127630_85.batch	0:0	COMPLETED	3218124K	00:41:10
27127630_85.extern	0:0	COMPLETED		00:41:10
27127630_86	1:0	FAILED		00:04:39
27127630_86.batch	1:0	FAILED	845208K	00:04:39
27127630_86.extern	0:0	COMPLETED		00:04:39
27127630_87	0:0	COMPLETED		00:26:53
27127630_87.batch	0:0	COMPLETED	2998504K	00:26:53
27127630_87.extern	0:0	COMPLETED		00:26:53
27127630_88	0:0	COMPLETED		00:11:51
27127630_88.batch	0:0	COMPLETED	694300K	00:11:51
27127630_88.extern	0:0	COMPLETED		00:11:51
27127630_89	0:0	COMPLETED		00:39:51
27127630_89.batch	0:0	COMPLETED	1313944K	00:39:51
27127630_89.extern	0:0	COMPLETED		00:39:51
27127630_90	0:0	COMPLETED		00:09:50
27127630_90.batch	0:0	COMPLETED	532344K	00:09:50
27127630_90.extern	0:0	COMPLETED		00:09:50
27127630_91	0:0	COMPLETED		00:05:01
27127630_91.batch	0:0	COMPLETED	438396K	00:05:01
27127630_91.extern	0:0	COMPLETED		00:05:01
27127630_92	0:0	COMPLETED		00:19:13
27127630_92.batch	0:0	COMPLETED	751884K	00:19:13
27127630_92.extern	0:0	COMPLETED		00:19:13
27127630_93	0:0	COMPLETED		06:18:28
27127630_93.batch	0:0	COMPLETED	3689064K	06:18:28
27127630_93.extern	0:0	COMPLETED		06:18:28
27127630_94	0:0	COMPLETED		00:06:10
27127630_94.batch	0:0	COMPLETED	707456K	00:06:10
27127630_94.extern	0:0	COMPLETED		00:06:10
27127630_95	0:0	COMPLETED		00:05:31
27127630_95.batch	0:0	COMPLETED	470064K	00:05:31
27127630_95.extern	0:0	COMPLETED		00:05:31
27127630_96	0:0	COMPLETED		00:13:05
27127630_96.batch	0:0	COMPLETED	567448K	00:13:05
27127630_96.extern	0:0	COMPLETED		00:13:05
27127630_97	0:0	COMPLETED		00:12:51
27127630_97.batch	0:0	COMPLETED	1212432K	00:12:51
27127630_97.extern	0:0	COMPLETED		00:12:51
27127630_98	0:0	COMPLETED		01:07:09
27127630_98.batch	0:0	COMPLETED	2713304K	01:07:09
27127630_98.extern	0:0	COMPLETED		01:07:09
27127630_99	0:0	COMPLETED		00:09:11
27127630_99.batch	0:0	COMPLETED	539432K	00:09:11
27127630_99.extern	0:0	COMPLETED		00:09:11
27127630_100	0:0	COMPLETED		00:14:14
27127630_100.batch	0:0	COMPLETED	755616K	00:14:14
27127630_100.extern	0:0	COMPLETED		00:14:14
27127630_101	0:0	COMPLETED		00:28:07
27127630_101.batch	0:0	COMPLETED	1158068K	00:28:07
27127630_101.extern	0:0	COMPLETED		00:28:07
27127630_102	0:0	COMPLETED		00:21:23
27127630_102.batch	0:0	COMPLETED	882068K	00:21:23
27127630_102.extern	0:0	COMPLETED		00:21:23
27127630_103	0:0	COMPLETED		00:09:37
27127630_103.batch	0:0	COMPLETED	860944K	00:09:37
27127630_103.extern	0:0	COMPLETED		00:09:37
27127630_104	0:0	COMPLETED		08:57:27
27127630_104.batch	0:0	COMPLETED	4190560K	08:57:27
27127630_104.extern	0:0	COMPLETED		08:57:27
27127630_105	0:0	COMPLETED		00:38:28
27127630_105.batch	0:0	COMPLETED	1201244K	00:38:28
27127630_105.extern	0:0	COMPLETED		00:38:28
27127630_106	0:0	COMPLETED		00:07:05
27127630_106.batch	0:0	COMPLETED	542164K	00:07:05
27127630_106.extern	0:0	COMPLETED		00:07:05
27127630_107	0:0	COMPLETED		00:06:49
27127630_107.batch	0:0	COMPLETED	622692K	00:06:49
27127630_107.extern	0:0	COMPLETED		00:06:49
27127630_108	0:0	COMPLETED		01:23:41
27127630_108.batch	0:0	COMPLETED	1918012K	01:23:41
27127630_108.extern	0:0	COMPLETED		01:23:41
27127630_109	0:0	COMPLETED		00:29:58
27127630_109.batch	0:0	COMPLETED	1957920K	00:29:58
27127630_109.extern	0:0	COMPLETED		00:29:58
27127630_110	0:0	COMPLETED		00:04:59
27127630_110.batch	0:0	COMPLETED	497868K	00:04:59
27127630_110.extern	0:0	COMPLETED		00:04:59
27127630_111	0:0	COMPLETED		00:04:35
27127630_111.batch	0:0	COMPLETED	362380K	00:04:35
27127630_111.extern	0:0	COMPLETED		00:04:35
27127630_112	0:0	COMPLETED		00:11:43
27127630_112.batch	0:0	COMPLETED	726760K	00:11:43
27127630_112.extern	0:0	COMPLETED		00:11:43
27127630_113	0:0	COMPLETED		00:20:30
27127630_113.batch	0:0	COMPLETED	1038116K	00:20:30
27127630_113.extern	0:0	COMPLETED		00:20:30
27127630_114	0:0	COMPLETED		00:21:49
27127630_114.batch	0:0	COMPLETED	861664K	00:21:49
27127630_114.extern	0:0	COMPLETED		00:21:49
27127630_115	0:0	COMPLETED		01:07:29
27127630_115.batch	0:0	COMPLETED	1485476K	01:07:29
27127630_115.extern	0:0	COMPLETED		01:07:29
27127630_116	0:0	COMPLETED		04:46:43
27127630_116.batch	0:0	COMPLETED	1560452K	04:46:43
27127630_116.extern	0:0	COMPLETED		04:46:44
27127630_117	0:0	COMPLETED		00:07:07
27127630_117.batch	0:0	COMPLETED	518248K	00:07:07
27127630_117.extern	0:0	COMPLETED		00:07:07
27127630_118	0:0	COMPLETED		00:42:01
27127630_118.batch	0:0	COMPLETED	1264324K	00:42:01
27127630_118.extern	0:0	COMPLETED		00:42:01
27127630_119	0:0	COMPLETED		00:49:42
27127630_119.batch	0:0	COMPLETED	2450840K	00:49:42
27127630_119.extern	0:0	COMPLETED		00:49:42
27127630_120	0:0	COMPLETED		00:18:18
27127630_120.batch	0:0	COMPLETED	1696676K	00:18:18
27127630_120.extern	0:0	COMPLETED		00:18:18
27127630_121	0:0	COMPLETED		00:41:26
27127630_121.batch	0:0	COMPLETED	997316K	00:41:26
27127630_121.extern	0:0	COMPLETED		00:41:26
27127630_122	0:0	COMPLETED		01:53:31
27127630_122.batch	0:0	COMPLETED	3855652K	01:53:31
27127630_122.extern	0:0	COMPLETED		01:53:31
27127630_123	0:0	COMPLETED		00:36:21
27127630_123.batch	0:0	COMPLETED	1234756K	00:36:21
27127630_123.extern	0:0	COMPLETED		00:36:21
27127630_124	0:0	COMPLETED		00:41:27
27127630_124.batch	0:0	COMPLETED	1092372K	00:41:27
27127630_124.extern	0:0	COMPLETED		00:41:27
27127630_125	0:0	COMPLETED		00:10:55
27127630_125.batch	0:0	COMPLETED	881344K	00:10:55
27127630_125.extern	0:0	COMPLETED		00:10:55
27127630_126	0:0	COMPLETED		00:27:48
27127630_126.batch	0:0	COMPLETED	1068352K	00:27:48
27127630_126.extern	0:0	COMPLETED		00:27:48
27127630_127	0:0	COMPLETED		00:05:51
27127630_127.batch	0:0	COMPLETED	465720K	00:05:51
27127630_127.extern	0:0	COMPLETED		00:05:51
27127630_128	0:0	COMPLETED		00:05:05
27127630_128.batch	0:0	COMPLETED	520672K	00:05:05
27127630_128.extern	0:0	COMPLETED		00:05:05
27127630_129	0:0	COMPLETED		00:22:04
27127630_129.batch	0:0	COMPLETED	1244544K	00:22:04
27127630_129.extern	0:0	COMPLETED		00:22:04
27127630_130	0:0	COMPLETED		00:39:38
27127630_130.batch	0:0	COMPLETED	1218576K	00:39:38
27127630_130.extern	0:0	COMPLETED		00:39:38
27127630_131	0:0	COMPLETED		00:03:59
27127630_131.batch	0:0	COMPLETED	399816K	00:03:59
27127630_131.extern	0:0	COMPLETED		00:03:59
27127630_132	0:0	COMPLETED		00:14:51
27127630_132.batch	0:0	COMPLETED	1207840K	00:14:51
27127630_132.extern	0:0	COMPLETED		00:14:51
27127630_133	0:0	COMPLETED		00:04:03
27127630_133.batch	0:0	COMPLETED	348800K	00:04:03
27127630_133.extern	0:0	COMPLETED		00:04:03
27127630_134	0:0	COMPLETED		00:10:38
27127630_134.batch	0:0	COMPLETED	531336K	00:10:38
27127630_134.extern	0:0	COMPLETED		00:10:38
27127630_135	0:0	COMPLETED		03:22:22
27127630_135.batch	0:0	COMPLETED	737348K	03:22:22
27127630_135.extern	0:0	COMPLETED		03:22:22
27127630_136	0:0	COMPLETED		00:18:17
27127630_136.batch	0:0	COMPLETED	2492044K	00:18:17
27127630_136.extern	0:0	COMPLETED		00:18:17
27127630_137	0:0	COMPLETED		00:58:04
27127630_137.batch	0:0	COMPLETED	1246M	00:58:04
27127630_137.extern	0:0	COMPLETED		00:58:04
27127630_138	0:0	COMPLETED		00:22:23
27127630_138.batch	0:0	COMPLETED	2535968K	00:22:23
27127630_138.extern	0:0	COMPLETED		00:22:23
27127630_139	0:0	COMPLETED		00:08:11
27127630_139.batch	0:0	COMPLETED	1269752K	00:08:11
27127630_139.extern	0:0	COMPLETED		00:08:11
27127630_140	0:0	COMPLETED		00:08:05
27127630_140.batch	0:0	COMPLETED	503316K	00:08:05
27127630_140.extern	0:0	COMPLETED		00:08:05
27127630_141	0:0	COMPLETED		00:05:18
27127630_141.batch	0:0	COMPLETED	388444K	00:05:18
27127630_141.extern	0:0	COMPLETED		00:05:18
27127630_142	0:0	COMPLETED		00:12:17
27127630_142.batch	0:0	COMPLETED	731024K	00:12:17
27127630_142.extern	0:0	COMPLETED		00:12:17
27127630_143	0:0	COMPLETED		05:08:27
27127630_143.batch	0:0	COMPLETED	1513000K	05:08:27
