JobID|ExitCode|State|MaxRSS|Elapsed
13936577_78.extern|0:0|COMPLETED|740K|00:02:56
13936577_79|0:0|COMPLETED||02:45:39
13936577_79.batch|0:0|COMPLETED|389062K|02:45:39
13936577_79.extern|0:0|COMPLETED|740K|02:45:41
13936577_80|0:0|COMPLETED||02:42:47
13936577_80.batch|0:0|COMPLETED|391674K|02:42:47
13936577_80.extern|0:0|COMPLETED|740K|02:43:26
13936577_81|0:0|COMPLETED||03:04:44
13936577_81.batch|0:0|COMPLETED|389387K|03:04:44
13936577_81.extern|0:0|COMPLETED|86K|03:04:49
13936577_82|0:0|COMPLETED||02:22:39
13936577_82.batch|0:0|COMPLETED|393477K|02:22:39
13936577_82.extern|0:0|COMPLETED|738K|02:22:47
13936577_83|0:0|COMPLETED||02:43:28
13936577_83.batch|0:0|COMPLETED|395274K|02:43:28
13936577_83.extern|0:0|COMPLETED|742K|02:43:32
13936577_84|0:0|COMPLETED||02:13:02
13936577_84.batch|0:0|COMPLETED|389065K|02:13:02
13936577_84.extern|0:0|COMPLETED|744K|02:13:12
13936577_85|0:0|COMPLETED||02:39:17
13936577_85.batch|0:0|COMPLETED|392202K|02:39:17
13936577_85.extern|0:0|COMPLETED|742K|02:39:19
13936577_86|0:0|COMPLETED||02:47:23
13936577_86.batch|0:0|COMPLETED|390482K|02:47:23
13936577_86.extern|0:0|COMPLETED|740K|02:47:25
13936577_87|0:0|COMPLETED||02:42:06
13936577_87.batch|0:0|COMPLETED|394990K|02:42:06
13936577_87.extern|0:0|COMPLETED|742K|02:43:27
13936577_88|0:0|COMPLETED||02:28:59
13936577_88.batch|0:0|COMPLETED|392087K|02:28:59
13936577_88.extern|0:0|COMPLETED|740K|02:29:00
13936577_89|0:0|COMPLETED||02:43:27
13936577_89.batch|0:0|COMPLETED|390979K|02:43:27
13936577_89.extern|0:0|COMPLETED|738K|02:43:28
13936577_90|0:0|COMPLETED||02:36:11
13936577_90.batch|0:0|COMPLETED|393232K|02:36:11
13936577_90.extern|0:0|COMPLETED|742K|02:36:11
13936577_91|0:0|COMPLETED||01:57:42
13936577_91.batch|0:0|COMPLETED|389760K|01:57:42
13936577_91.extern|0:0|COMPLETED|742K|01:57:56
13936577_92|0:0|COMPLETED||01:55:11
13936577_92.batch|0:0|COMPLETED|388172K|01:55:11
13936577_92.extern|0:0|COMPLETED|740K|01:55:30
13936577_93|0:0|COMPLETED||02:19:30
13936577_93.batch|0:0|COMPLETED|388440K|02:19:30
13936577_93.extern|0:0|COMPLETED|742K|02:19:45
13936577_94|0:0|COMPLETED||02:17:46
13936577_94.batch|0:0|COMPLETED|387496K|02:17:46
13936577_94.extern|0:0|COMPLETED|742K|02:17:50
13936577_95|0:0|COMPLETED||01:55:30
13936577_95.batch|0:0|COMPLETED|383344K|01:55:30
13936577_95.extern|0:0|COMPLETED|744K|01:55:37
13936577_96|0:0|COMPLETED||02:00:05
13936577_96.batch|0:0|COMPLETED|388191K|02:00:05
13936577_96.extern|0:0|COMPLETED|744K|02:00:06
13936577_97|0:0|COMPLETED||01:32:39
13936577_97.batch|0:0|COMPLETED|388364K|01:32:39
13936577_97.extern|0:0|COMPLETED|742K|01:32:43
13936577_98|0:0|COMPLETED||02:19:05
13936577_98.batch|0:0|COMPLETED|393482K|02:19:05
13936577_98.extern|0:0|COMPLETED|740K|02:19:44
13936577_99|0:0|COMPLETED||01:24:02
13936577_99.batch|0:0|COMPLETED|391734K|01:24:02
13936577_99.extern|0:0|COMPLETED|742K|01:24:03
13936577_100|0:0|COMPLETED||02:23:08
13936577_100.batch|0:0|COMPLETED|389518K|02:23:08
13936577_100.extern|0:0|COMPLETED|744K|02:23:32
13936577_101|0:0|COMPLETED||03:47:13
13936577_101.batch|0:0|COMPLETED|394975K|03:47:13
13936577_101.extern|0:0|COMPLETED|90K|03:52:00
13936577_102|0:0|COMPLETED||02:28:20
13936577_102.batch|0:0|COMPLETED|396083K|02:28:20
13936577_102.extern|0:0|COMPLETED|744K|02:28:23
13936577_103|0:0|COMPLETED||01:59:59
13936577_103.batch|0:0|COMPLETED|385347K|01:59:59
13936577_103.extern|0:0|COMPLETED|740K|02:00:01
13936577_104|0:0|COMPLETED||02:30:55
13936577_104.batch|0:0|COMPLETED|388119K|02:30:55
13936577_104.extern|0:0|COMPLETED|740K|02:30:56
13936577_105|0:0|COMPLETED||02:08:49
13936577_105.batch|0:0|COMPLETED|391105K|02:08:49
13936577_105.extern|0:0|COMPLETED|744K|02:08:55
13936577_106|0:0|COMPLETED||02:00:51
13936577_106.batch|0:0|COMPLETED|384162K|02:00:51
13936577_106.extern|0:0|COMPLETED|740K|02:00:53
13936577_107|0:0|COMPLETED||02:36:33
13936577_107.batch|0:0|COMPLETED|387050K|02:36:33
13936577_107.extern|0:0|COMPLETED|744K|02:36:35
13936577_108|0:0|COMPLETED||02:46:10
13936577_108.batch|0:0|COMPLETED|391464K|02:46:10
13936577_108.extern|0:0|COMPLETED|742K|02:46:19
13936577_109|0:0|COMPLETED||02:07:22
13936577_109.batch|0:0|COMPLETED|383281K|02:07:22
13936577_109.extern|0:0|COMPLETED|744K|02:07:23
13936577_110|0:0|COMPLETED||02:04:32
13936577_110.batch|0:0|COMPLETED|387074K|02:04:32
13936577_110.extern|0:0|COMPLETED|740K|02:04:39
13936577_111|0:0|COMPLETED||02:24:58
13936577_111.batch|0:0|COMPLETED|386634K|02:24:58
13936577_111.extern|0:0|COMPLETED|738K|02:25:19
13936577_112|0:0|COMPLETED||02:01:08
13936577_112.batch|0:0|COMPLETED|388857K|02:01:08
13936577_112.extern|0:0|COMPLETED|742K|02:01:09
13936577_113|0:0|COMPLETED||00:04:37
13936577_113.batch|0:0|COMPLETED|812K|00:04:37
13936577_113.extern|0:0|COMPLETED|744K|00:04:41
13936577_114|0:0|COMPLETED||00:04:00
13936577_114.batch|0:0|COMPLETED|814K|00:04:00
13936577_114.extern|0:0|COMPLETED|742K|00:04:04
13936577_115|0:0|COMPLETED||02:18:19
13936577_115.batch|0:0|COMPLETED|387969K|02:18:19
13936577_115.extern|0:0|COMPLETED|742K|02:18:52
13936577_116|0:0|COMPLETED||00:05:28
13936577_116.batch|0:0|COMPLETED|810K|00:05:28
13936577_116.extern|0:0|COMPLETED|742K|00:05:34
13936577_117|0:0|COMPLETED||02:15:15
13936577_117.batch|0:0|COMPLETED|383781K|02:15:15
13936577_117.extern|0:0|COMPLETED|742K|02:15:40
13936577_118|0:0|COMPLETED||00:06:07
13936577_118.batch|0:0|COMPLETED|814K|00:06:07
13936577_118.extern|0:0|COMPLETED|744K|00:06:07
13936577_119|0:0|COMPLETED||00:08:33
13936577_119.batch|0:0|COMPLETED|385134K|00:08:33
13936577_119.extern|0:0|COMPLETED|746K|00:08:38
13936577_120|0:0|COMPLETED||00:04:06
13936577_120.batch|0:0|COMPLETED|812K|00:04:06
13936577_120.extern|0:0|COMPLETED|742K|00:04:08
13936577_121|0:0|COMPLETED||02:30:37
13936577_121.batch|0:0|COMPLETED|390109K|02:30:37
13936577_121.extern|0:0|COMPLETED|748K|02:30:38
13936577_122|0:0|COMPLETED||02:03:28
13936577_122.batch|0:0|COMPLETED|388625K|02:03:28
13936577_122.extern|0:0|COMPLETED|754K|02:03:29
13936577_123|0:0|COMPLETED||01:55:36
13936577_123.batch|0:0|COMPLETED|392682K|01:55:36
13936577_123.extern|0:0|COMPLETED|748K|01:55:40
13936577_124|0:0|COMPLETED||01:53:22
13936577_124.batch|0:0|COMPLETED|415035K|01:53:22
13936577_124.extern|0:0|COMPLETED|744K|01:53:26
13936577_125|0:0|COMPLETED||00:04:26
13936577_125.batch|0:0|COMPLETED|814K|00:04:26
13936577_125.extern|0:0|COMPLETED|752K|00:04:26
13936577_126|0:0|COMPLETED||02:00:37
13936577_126.batch|0:0|COMPLETED|393792K|02:00:37
13936577_126.extern|0:0|COMPLETED|750K|02:00:44
13936577_127|0:0|COMPLETED||01:48:35
